FIPS,State,County,Years of Potential Life Lost Rate: Premature death,95% CI - Low: Premature death,95% CI - High: Premature death,Z-Score: Premature death,YPLL Rate (Black),YPLL Rate (Hispanic),YPLL Rate (White),% Fair/Poor,95% CI - Low: Poor or fair health,95% CI - High: Poor or fair health,Z-Score: Poor or fair health,Physically Unhealthy Days,95% CI - Low: Poor physical health days,95% CI - High: Poor physical health days,Z-Score: Poor physical health days,Mentally Unhealthy Days,95% CI - Low: Poor mental health days,95% CI - High: Poor mental health days,Z-Score: Poor mental health days,Unreliable,% LBW,95% CI - Low: Low birthweight,95% CI - High: Low birthweight,Z-Score,% LBW (Black),% LBW (Hispanic),% LBW (White),% Smokers,95% CI - Low: Adult smoking,95% CI - High: Adult smoking,Z-Score: Adult smoking,% Obese,95% CI - Low: Adult obesity,95% CI - High: Adult obesity,Z-Score: Adult obesity,Food Environment Index,Z-Score: Food environment index,% Physically Inactive,95% CI - Low: Physical inactivity,95% CI - High: Physical inactivity,Z-Score: Physical inactivity,% With Access,Z-Score: Access to exercise opportunities,% Excessive Drinking,95% CI - Low: Excessive drinking,95% CI - High: Excessive drinking,Z-Score: Excessive drinking,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,95% CI - Low: Alcohol-impaired driving deaths,95% CI - High: Alcohol-impaired driving deaths,Z-Score: Alcohol-impaired driving deaths,# Chlamydia Cases,Chlamydia Rate,Z-Score: Sexually transmitted infections,Teen Birth Rate,95% CI - Low: Teen births,95% CI - High: Teen births,Z-Score: Teen births,Teen Birth Rate (Black),Teen Birth Rate (Hispanic),Teen Birth Rate (White),# Uninsured,% Uninsured,95% CI - Low: Uninsured,95% CI - High: Uninsured,Z-Score: Uninsured,# Primary Care Physicians,PCP Rate,PCP Ratio,Z-Score: Primary care physicians,# Dentists,Dentist Rate,Dentist Ratio,Z-Score: Dentists,# Mental Health Providers,MHP Rate,MHP Ratio,Z-Score: Mental health providers,Preventable Hosp. Rate,Z-Score: Preventable hospital stays,Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% Screened,Z-Score: Mammography screening,% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score: Flu vaccinations,% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size: High school graduation,Graduation Rate,Z-Score: High school graduation,# Some College,Population: Some college,% Some College,95% CI - Low: Some college,95% CI - High: Some college,Z-Score: Some college,# Unemployed,Labor Force,% Unemployed,Z-Score: Unemployment,% Children in Poverty,95% CI - Low: Children in poverty,95% CI - High: Children in poverty,Z-Score: Children in poverty,% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score: Income inequality,# Single-Parent Households,# Households: Children in single-parent households,% Single-Parent Households,95% CI - Low: Children in single-parent households,95% CI - High: Children in single-parent households,Z-Score: Children in single-parent households,# Associations,Association Rate,Z-Score: Social associations,Annual Average Violent Crimes,Violent Crime Rate,Z-Score: Violent crime,# Injury Deaths,Injury Death Rate,95% CI - Low: Injury deaths,95% CI - High: Injury deaths,Z-Score: Injury deaths,Average Daily PM2.5,Z-Score: Air pollution - particulate matter,Presence of violation,Z-Score: Drinking water violations,% Severe Housing Problems,95% CI - Low: Severe housing problems,95% CI - High: Severe housing problems,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,Z-Score: Severe housing problems,% Drive Alone,95% CI - Low: Driving alone to work,95% CI - High: Driving alone to work,Z-Score: Driving alone to work,% Drive Alone (Black),% Drive Alone (Hispanic),% Drive Alone (White),# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low: Long commute - driving alone,95% CI - High: Long commute - driving alone,Z-Score: Long commute - driving alone,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),# Deaths: Premature age-adjusted mortality,Age-Adjusted Mortality,95% CI - Low: Premature age-adjusted mortality,95% CI - High: Premature age-adjusted mortality,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths: Child mortality,Child Mortality Rate,95% CI - Low: Child mortality,95% CI - High: Child mortality,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths: Infant mortality,Infant Mortality Rate,95% CI - Low: Infant mortality,95% CI - High: Infant mortality,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,95% CI - Low: Frequent physical distress,95% CI - High: Frequent physical distress,% Frequent Mental Distress,95% CI - Low: Frequent mental distress,95% CI - High: Frequent mental distress,% Diabetic,95% CI - Low: Diabetes prevalence,95% CI - High: Diabetes prevalence,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low: Motor vehicle crash deaths,95% CI - High: Motor vehicle crash deaths,% Insufficient Sleep,95% CI - Low: Insufficient sleep,95% CI - High: Insufficient sleep,# Uninsured,% Uninsured,95% CI - Low: Uninsured adults,95% CI - High: Uninsured adults,# Uninsured,% Uninsured,95% CI - Low: Uninsured children,95% CI - High: Uninsured children,Other PCP Rate,Other PCP Ratio,% Disconnected Youth,Household Income,95% CI - Low: Median household income,95% CI - High: Median household income,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low: Homicides,95% CI - High: Homicides,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low: Firearm fatalities,95% CI - High: Firearm fatalities,# Homeowners,% Homeowners,95% CI - Low: Homeownership,95% CI - High: Homeownership,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low: Severe housing cost burden,95% CI - High: Severe housing cost burden,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,Population: Demographics,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low: Demographics,95% CI - High: Demographics,% Female,# Rural,% Rural,Latitude,Longtitude,Year
47001,Tennessee,Anderson,9536,8703,10368,-0.40,11586,,9749,19,18,20,-0.51,4.7,4.5,4.9,-0.47,4.7,4.5,4.9,-0.35,,9,8,10,-0.10,12,,9,21,20,22,-0.68,32,26,38,-0.56,7.5,0.23,28,23,34,-0.41,66,-0.62,14,13,14,0.00,18,60,30,23,37,0.14,263,347.2,-0.09,37,34,40,-0.19,29,24,38,5550,9,8,11,-1.31,46,61,1651:1,-0.49,55,72,1386:1,-2.03,69,90,1105:1,-0.26,4867,-0.58,5397,,4825,49,-1.98,53,54,49,54,-1.49,42,43,55,859,92,0.15,10273,17614,58,54,63,-0.98,1333,34175,3.9,-0.51,22,16,28,-0.35,26,34,25,96851,19940,4.9,0.62,5894,15656,38,32,43,0.65,118,15.5,-1.22,251,401,0.05,404,107,96,117,0.46,10.3,0.55,No,-0.59,13,12,15,12,1,1,-0.08,87,85,89,0.77,95,77,90,27323,34,31,37,-0.42,76.1,75.4,76.8,74.8,92.3,75.9,1299,451,426,477,536,,460,43,67,49,91,,,,45,8,6,11,,,,14,13,14,14,13,14,12,9,15,91,141,10160,13,7031,9,104,46,81,15,12,19,36,35,37,5099,11,10,13,497,3,2,4,111,897:1,6,48679,43944,53414,38024,39228,48161,,51,38,3,2,5,51,14,10,18,20584,67,66,69,3461,12,10,14,76257,21.2,19.8,3022,4.0,344,0.5,1201,76257,21.2,19.8,3022,4.0,344,0.5,1201,1.6,41,0.1,2188,2.9,68059,89.2,734,1,1,1,51.3,26041,34.7,36.1185,-84.1985,2019
47003,Tennessee,Bedford,9762,8769,10754,-0.28,9265,4454,10683,22,21,22,0.45,4.8,4.6,5.0,-0.10,4.7,4.5,4.9,-0.20,,9,8,10,-0.11,14,6,9,21,21,22,-0.36,33,26,39,-0.30,7.9,-0.38,33,26,39,0.79,51,0.13,15,14,15,0.68,24,47,51,45,57,2.08,153,324.3,-0.20,43,39,47,0.42,33,49,43,5173,13,11,15,1.19,18,38,2638:1,0.27,12,25,4010:1,0.57,33,69,1458:1,0.04,6034,0.09,3236,,6300,42,-0.65,51,29,41,45,0.10,36,21,45,571,91,0.45,5013,12114,41,36,46,0.64,804,20539,3.9,-0.49,23,17,29,-0.19,29,29,19,82588,21083,3.9,-1.24,4316,11929,36,30,42,0.44,45,9.5,0.36,200,425,0.17,203,86,74,98,-0.50,10.5,0.95,Yes,1.66,15,13,18,12,4,1,0.72,82,79,85,-0.74,81,64,81,17179,36,31,40,-0.25,74.8,74.0,75.6,74.7,85.8,74.1,799,489,454,524,495,281,512,34,69,48,97,,,,36,8,6,11,,,,14,14,15,14,14,14,12,9,16,46,121,5690,12,2984,7,19,13,67,21,16,26,36,35,37,4627,17,14,19,591,5,3,6,98,1024:1,12,50904,45339,56469,35304,39554,48796,,41,33,,,,32,14,9,19,11631,68,66,71,2292,14,11,16,48117,25.5,15.1,3598,7.5,525,1.1,520,48117,25.5,15.1,3598,7.5,525,1.1,520,1.1,83,0.2,5822,12.1,37170,77.2,1463,3,2,4,50.9,25053,55.6,35.5138,-86.4589,2019
47005,Tennessee,Benton,12828,10692,14965,1.40,,,,21,20,22,0.32,5.2,5.0,5.5,1.07,5.1,4.9,5.4,1.34,,8,7,10,-0.63,,,,23,22,24,0.24,35,28,41,0.54,7.4,0.38,32,25,39,0.52,48,0.27,12,12,13,-1.23,11,27,41,31,50,1.13,56,347.2,-0.09,50,42,58,1.15,,,,1431,12,10,13,0.41,3,19,5338:1,0.91,3,19,5329:1,0.91,6,38,2664:1,0.48,6528,0.37,,,,32,1.25,,,,47,-0.25,37,40,48,166,96,-0.77,1515,3422,44,36,52,0.36,364,6769,5.4,1.28,30,21,39,0.91,,93,28,69035,14105,4.9,0.69,1152,3209,36,25,47,0.40,21,13.1,-0.59,25,152,-1.15,130,161,134,189,3.00,10.0,-0.06,No,-0.59,16,13,19,13,3,1,1.07,87,83,91,0.83,,,,4807,27,22,32,-1.04,72.6,71.2,74.1,,,,409,606,542,671,,,,10,79,38,145,,,,,,,,,,,16,15,16,15,15,16,14,11,19,13,94,2450,15,1082,7,17,35,38,34,24,46,37,36,38,1308,14,12,17,133,4,3,6,100,999:1,,36034,31656,40412,20625,36635,34255,,45,35,,,,20,25,15,38,5066,76,72,79,794,13,10,16,15986,19.5,23.7,368,2.3,87,0.5,97,15986,19.5,23.7,368,2.3,87,0.5,97,0.6,2,0.0,375,2.3,14851,92.9,36,0,0,1,50.9,12937,78.5,36.0698,-88.0683,2019
47007,Tennessee,Bledsoe,7735,6103,9367,-1.39,,,,22,21,23,0.64,5.1,4.9,5.4,0.81,4.8,4.5,5.0,0.05,,7,5,9,-1.51,,,,26,25,27,1.64,35,28,42,0.63,7.8,-0.23,29,23,36,-0.30,25,1.41,14,13,15,0.13,4,8,50,32,65,1.98,180,1241.2,3.00,42,34,51,0.31,,,,1331,14,12,16,1.88,1,7,14675:1,1.31,3,20,4906:1,0.82,4,27,3679:1,0.62,5025,-0.49,,,,36,0.49,,,,34,2.04,,,,124,85,1.79,1329,3954,34,27,40,1.38,253,4317,5.9,1.87,30,21,40,0.97,20,84,25,81994,17665,4.6,0.19,679,2313,29,21,38,-0.55,7,4.8,1.58,24,173,-1.05,60,85,65,109,-0.56,9.4,-1.26,No,-0.59,18,13,22,13,3,2,1.73,77,71,83,-2.32,,,,3942,51,40,61,1.17,78.1,76.5,79.6,,,,233,396,344,449,,,,,,,,,,,,,,,,,,16,15,16,15,14,15,14,10,18,57,440,2200,16,211,2,,,13,13,7,23,37,36,38,1220,17,14,20,120,5,3,7,68,1472:1,,38261,33484,43038,,,,,56,23,,,,15,21,12,35,3533,76,71,81,373,9,5,12,14717,16.0,18.1,1026,7.0,81,0.6,35,14717,16.0,18.1,1026,7.0,81,0.6,35,0.2,5,0.0,339,2.3,13058,88.7,260,2,0,4,41.2,12876,100.0,35.5964,-85.2051,2019
47009,Tennessee,Blount,8268,7676,8860,-1.09,8794,,8458,17,16,17,-1.44,4.6,4.4,4.8,-0.78,4.5,4.3,4.7,-0.96,,8,7,8,-0.92,11,4,8,19,18,20,-1.47,35,29,41,0.54,7.7,-0.08,26,21,31,-1.15,67,-0.66,14,13,15,0.32,34,109,31,26,36,0.25,473,371.7,0.04,30,28,32,-0.83,32,39,30,10388,10,9,11,-0.69,92,72,1399:1,-0.85,75,58,1732:1,-1.24,154,119,844:1,-0.65,4892,-0.57,5676,8481,4884,45,-1.22,61,30,45,54,-1.49,43,37,54,1330,94,-0.44,17521,29975,58,55,62,-0.99,2152,61819,3.5,-1.02,17,13,21,-1.13,28,39,17,96133,22746,4.2,-0.63,6977,26229,27,23,30,-0.95,146,11.3,-0.13,449,354,-0.18,517,81,74,88,-0.74,10.1,0.15,Yes,1.66,13,11,14,12,1,1,-0.40,86,84,87,0.41,90,74,87,49316,36,33,38,-0.23,77.6,77.1,78.1,80.1,90.8,77.3,1925,391,372,409,465,,397,57,54,41,70,,,,49,5,4,7,,,,13,13,14,13,13,13,15,11,18,118,109,14160,11,14303,12,121,31,106,12,10,14,33,32,35,9518,12,11,14,952,3,2,5,82,1214:1,6,51391,48123,54659,28322,31406,52333,,63,36,2,1,3,88,14,11,17,37372,75,74,76,5387,11,10,13,129929,20.4,19.7,3800,2.9,545,0.4,1171,129929,20.4,19.7,3800,2.9,545,0.4,1171,0.9,75,0.1,4285,3.3,118326,91.1,1042,1,1,1,51.5,40140,32.6,35.6872,-83.9255,2019
47011,Tennessee,Bradley,8153,7549,8756,-1.16,9129,,8499,21,20,22,0.23,5.0,4.8,5.2,0.43,4.7,4.5,4.9,-0.39,,8,8,9,-0.44,12,7,8,20,19,21,-0.98,38,33,43,2.07,7.3,0.53,32,28,37,0.76,75,-1.04,13,13,14,-0.37,20,63,32,25,38,0.30,412,395.8,0.16,34,32,36,-0.45,32,46,34,11037,13,11,15,1.20,59,56,1771:1,-0.35,52,49,2030:1,-0.77,74,70,1426:1,0.02,5345,-0.31,6429,2978,5304,42,-0.65,51,41,42,44,0.28,35,35,44,1186,91,0.45,14716,25890,57,53,61,-0.84,1836,50172,3.7,-0.80,21,16,25,-0.56,24,52,24,90670,20189,4.5,-0.11,7328,23014,32,27,37,-0.19,151,14.5,-0.93,576,554,0.79,377,73,65,80,-1.14,10.7,1.35,No,-0.59,16,14,17,13,3,1,0.93,84,82,86,-0.18,76,86,84,38090,26,23,28,-1.15,76.9,76.3,77.4,76.4,89.5,76.5,1591,424,402,445,460,,438,48,52,38,69,,,,55,7,5,9,,,,15,14,15,14,13,14,15,12,18,104,119,13560,13,11906,12,66,21,100,14,11,17,37,36,38,10118,16,14,18,1017,4,3,6,108,926:1,4,48663,44067,53259,34583,29098,48829,,42,29,4,3,6,64,12,10,16,26120,66,64,68,4494,12,10,13,105560,22.0,16.8,5033,4.8,642,0.6,1240,105560,22.0,16.8,5033,4.8,642,0.6,1240,1.2,120,0.1,6608,6.3,90607,85.8,1633,2,1,2,51.4,32630,33.0,35.1541,-84.8596,2019
47013,Tennessee,Campbell,13350,12081,14619,1.69,,,,22,21,23,0.63,5.1,4.9,5.3,0.71,5.0,4.7,5.2,0.72,,10,9,12,1.38,,,,25,24,26,1.37,33,26,39,-0.38,7.0,0.99,30,23,36,-0.09,65,-0.56,14,13,14,-0.14,12,48,25,18,33,-0.33,123,309.4,-0.28,49,44,54,1.08,,,,3616,12,10,13,0.27,20,50,1986:1,-0.15,12,30,3304:1,0.28,15,38,2643:1,0.47,8949,1.76,,,,39,-0.08,,,,42,0.63,,,,460,94,-0.25,4049,9387,43,38,48,0.47,759,14825,5.1,0.97,32,23,41,1.34,,80,30,75242,14110,5.3,1.56,2923,7987,37,31,43,0.50,44,11.1,-0.06,167,419,0.14,228,114,100,129,0.83,9.7,-0.66,No,-0.59,14,11,16,12,1,1,-0.03,85,82,87,0.19,,,,12461,36,32,40,-0.18,72.0,71.1,72.9,,,,1018,660,617,702,,,,20,60,37,93,,,,,,,,,,,16,15,16,15,15,16,14,11,18,20,59,6200,16,4113,10,44,37,69,25,19,31,34,33,35,3374,15,12,17,262,3,2,4,136,734:1,8,40866,37365,44367,51641,56250,35344,,68,45,4,2,7,24,12,8,18,10980,69,66,72,1528,10,9,12,39648,20.7,20.4,183,0.5,127,0.3,133,39648,20.7,20.4,183,0.5,127,0.3,133,0.3,30,0.1,513,1.3,38233,96.4,26,0,0,0,51.0,22403,55.0,36.4035,-84.1494,2019
47015,Tennessee,Cannon,11040,9079,13001,0.42,,,,19,18,20,-0.48,4.6,4.4,4.8,-0.67,4.7,4.5,5.0,-0.13,,9,7,10,-0.08,,,,21,21,22,-0.32,35,28,44,0.89,8.4,-1.14,30,22,39,0.00,21,1.61,14,14,15,0.57,2,13,15,3,32,-1.21,42,303.5,-0.31,36,29,44,-0.23,,,,1339,12,10,14,0.44,4,29,3507:1,0.58,3,21,4739:1,0.78,4,28,3554:1,0.61,6293,0.23,,,,40,-0.27,,,,47,-0.25,53,,47,137,93,0.00,1426,3418,42,34,49,0.61,221,6235,3.5,-0.94,23,16,29,-0.22,,,,85875,20549,4.2,-0.72,942,2937,32,23,42,-0.15,13,9.3,0.41,25,177,-1.03,95,136,110,167,1.87,9.7,-0.66,No,-0.59,12,8,15,9,2,1,-0.92,84,80,89,0.05,,,,5056,62,54,71,2.27,74.3,72.8,75.7,,,,287,552,484,619,,,,,,,,,,,,,,,,,,14,13,14,14,13,14,13,9,18,19,161,1700,12,146,1,15,36,28,29,19,42,34,33,36,1223,15,12,17,126,4,3,6,35,2843:1,,51795,46635,56955,,31875,47903,,26,3,10,5,19,15,22,12,36,4015,74,70,78,394,8,5,11,14216,21.3,18.1,218,1.5,50,0.4,49,14216,21.3,18.1,218,1.5,50,0.4,49,0.3,15,0.1,332,2.3,13352,93.9,25,0,0,1,50.3,11197,81.1,35.8087,-86.0617,2019
47017,Tennessee,Carroll,11711,10255,13167,0.79,10118,,11949,22,21,22,0.46,4.9,4.7,5.1,0.24,4.7,4.5,4.9,-0.35,,8,7,9,-1.07,11,12,7,21,20,22,-0.51,34,28,40,0.32,7.6,0.08,34,28,40,1.17,24,1.47,13,12,13,-0.71,8,31,26,16,36,-0.25,146,523.1,0.82,32,28,36,-0.66,27,55,32,2102,10,8,11,-0.84,14,50,2007:1,-0.13,8,29,3483:1,0.36,12,43,2322:1,0.40,6147,0.15,6890,,6131,36,0.49,37,,36,51,-0.96,40,,52,314,96,-0.95,3045,6216,49,43,55,-0.09,619,12000,5.2,1.02,26,19,32,0.28,51,17,18,76341,15753,4.8,0.59,1880,5981,31,24,39,-0.25,40,14.2,-0.88,72,254,-0.66,138,98,82,114,0.06,10.2,0.35,No,-0.59,13,11,16,12,2,0,-0.08,87,85,89,0.84,,,,9391,32,28,36,-0.60,72.8,71.7,73.8,74.8,,72.5,635,589,540,637,522,,603,15,62,35,103,,,,,,,,,,,15,14,15,14,14,15,14,11,18,30,126,4410,16,964,3,10,12,49,25,18,33,36,35,37,1900,12,10,14,220,4,2,5,154,648:1,17,41492,37019,45965,28801,23345,39274,,22,21,,,,25,18,12,26,8204,72,70,75,1422,13,10,16,27860,21.3,20.2,2815,10.1,166,0.6,102,27860,21.3,20.2,2815,10.1,166,0.6,102,0.4,13,0.0,735,2.6,23573,84.6,26,0,0,0,51.2,23690,83.1,35.9732,-88.4503,2019
47019,Tennessee,Carter,9421,8469,10373,-0.46,,,,21,21,22,0.39,5.1,4.9,5.3,0.74,5.1,4.9,5.3,1.24,,9,8,10,0.20,,13,9,24,23,25,0.82,36,30,42,1.06,6.1,2.35,29,24,34,-0.30,81,-1.36,13,12,13,-0.82,10,27,37,27,47,0.79,143,253.2,-0.57,34,31,38,-0.44,,40,35,5004,11,10,13,0.15,22,39,2568:1,0.23,17,30,3323:1,0.29,16,28,3531:1,0.60,6447,0.32,,,,42,-0.65,,,,42,0.63,22,,42,637,94,-0.22,6629,13587,49,45,53,-0.07,1086,23911,4.5,0.27,29,21,37,0.79,,36,38,68270,14426,4.7,0.37,3879,10742,36,30,42,0.43,82,14.5,-0.95,154,271,-0.58,250,88,77,99,-0.41,9.4,-1.26,No,-0.59,15,13,17,12,2,2,0.63,87,84,89,0.74,,,,19434,30,27,33,-0.79,76.1,75.3,76.9,,,,1035,459,429,489,,,,27,63,41,91,,,,24,7,4,10,,,,16,15,16,15,15,16,15,12,19,63,129,8600,15,11750,20,52,31,45,11,8,15,36,35,37,4687,14,12,16,352,3,2,4,44,2260:1,9,39725,36626,42824,,27976,34911,,69,36,,,,42,15,11,20,16656,70,68,72,3024,13,12,15,56488,18.8,21.4,830,1.5,158,0.3,230,56488,18.8,21.4,830,1.5,158,0.3,230,0.4,15,0.0,1102,2.0,53510,94.7,98,0,0,0,51.0,23524,41.0,36.2928,-82.1275,2019
